IP;NAME;USERAGENT;Reson
77.75.77.11;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.17;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.32;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.54;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.62;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.72;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.95;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.101;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.109;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.77.119;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.160;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.161;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.162;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.163;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.164;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.165;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.166;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.167;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.168;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.169;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.170;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.171;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.78.172;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits, random files never existed"
77.75.79.119;Seznambot;"Mozilla/5.0 (compatible; SeznamBot/4.0-RC1; +http://napoveda.seznam.cz/seznambot-intro/)";"Lots of 500 hits"
136.243.228.182;DataForSeoBot/1.0;"Mozilla/5.0 (compatible; DataForSeoBot/1.0; +https://dataforseo.com/dataforseo-bot)";"Lots of 500 hits"
185.191.171.1;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.2;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.3;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.4;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.5;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.6;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.7;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.8;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.9;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.10;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.11;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.12;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.13;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.14;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.15;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
185.191.171.16;SemrushBot;"Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)";"Lots of 500 hits, random files never existed"
